RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
021,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,2
030,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
043,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,2
044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
051,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,6
052,0,0,0,0,0,0,0,0,1,0,0,2,0,3,7,10
053,0,0,0,0,1,2,2,0,2,0,0,0,1,8,11,19
061,0,0,0,0,1,1,0,0,0,0,0,2,0,4,3,7
062,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
063,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3
064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
071,0,0,0,1,0,0,5,1,0,0,0,1,0,8,3,11
072,0,0,0,1,0,0,0,0,0,0,0,2,0,3,6,9
073,0,0,0,0,0,3,0,1,0,0,0,0,0,4,3,7
074,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,6
075,0,0,0,2,0,0,0,0,0,0,0,0,0,2,6,8
076,0,0,0,0,0,1,0,0,0,0,0,2,0,3,6,9
081,0,0,0,0,1,0,0,0,0,2,1,0,0,4,8,12
082,0,0,0,1,0,0,0,1,0,1,0,2,0,5,8,13
083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
084,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,3
085,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3
091,0,0,0,0,0,3,1,0,2,3,0,3,0,12,7,19
092,0,0,0,1,0,1,0,0,0,3,0,0,0,5,3,8
093,0,0,0,0,2,0,0,0,0,1,0,0,0,3,5,8
094,0,0,0,3,1,2,0,1,1,0,0,0,0,8,5,13
101,0,0,1,0,0,2,0,2,1,0,0,0,0,6,5,11
102,0,0,1,0,1,2,0,0,1,0,0,4,0,9,4,13
104,0,0,0,0,0,1,0,0,0,1,0,1,0,3,2,5
111,1,0,0,1,3,3,0,1,1,1,0,0,0,11,6,17
112,0,0,0,1,1,0,0,1,0,1,0,0,0,4,7,11
113,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2
114,0,0,0,1,0,0,0,0,1,0,0,1,0,3,2,5
121,0,0,1,1,2,0,0,0,2,0,0,1,0,7,10,17
122,0,0,0,1,1,3,1,0,0,2,0,1,0,9,9,18
123,0,0,0,0,0,0,0,2,0,1,0,0,0,3,3,6
124,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3,5
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
132,0,0,0,1,0,1,0,1,0,1,0,1,0,5,0,5
133,0,0,0,0,0,2,0,0,0,2,0,0,0,4,0,4
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
141,0,0,0,0,0,1,0,0,1,3,0,2,0,7,3,10
142,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4
143,0,0,0,0,0,0,4,1,1,0,0,0,0,6,1,7
144,0,0,0,0,1,2,0,1,0,2,1,0,0,7,0,7
151,0,0,0,0,3,0,0,0,0,0,0,2,0,5,7,12
152,0,0,0,0,4,1,2,1,5,4,0,1,0,18,4,22
153,0,0,0,1,0,0,1,1,2,2,0,0,0,7,11,18
161,0,0,0,0,2,2,2,2,0,4,1,2,0,15,12,27
162,0,0,1,0,0,1,1,1,0,1,0,0,0,5,2,7
163,0,0,1,1,0,0,1,1,0,4,0,1,0,9,3,12
164,0,0,0,0,2,0,8,0,2,14,1,0,0,27,6,33
171,0,0,0,0,0,0,0,0,0,2,0,0,0,2,5,7
172,0,0,0,0,3,1,0,0,0,1,1,2,0,8,3,11
173,0,0,0,0,2,3,0,1,3,2,0,0,0,11,5,16
174,0,0,0,1,0,3,0,0,0,0,0,0,0,4,7,11
181,0,0,0,0,0,1,0,1,0,1,0,0,0,3,1,4
182,0,0,0,0,0,0,0,0,0,1,0,1,0,2,9,11
183,0,0,0,1,1,0,0,0,0,0,0,0,0,2,9,11
184,0,0,0,0,2,0,1,3,0,0,0,0,0,6,8,14
191,0,0,0,2,0,0,1,0,0,0,0,0,0,3,5,8
192,0,0,0,0,0,0,0,2,0,0,0,1,0,3,9,12
193,1,0,0,1,0,4,0,0,1,0,0,2,0,9,2,11
194,0,0,0,1,0,1,1,1,0,1,0,2,0,7,6,13
202,0,0,0,2,1,1,0,0,0,0,0,0,0,4,0,4
203,0,0,0,1,0,0,1,0,1,1,0,0,0,4,3,7
204,0,0,0,0,0,0,0,2,0,2,0,0,0,4,5,9
211,0,0,0,0,0,0,1,5,0,0,0,1,0,7,3,10
212,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,8
213,0,0,0,0,1,0,1,0,0,0,0,3,0,5,2,7
214,0,0,0,0,0,0,1,0,1,9,0,1,0,12,3,15
215,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,4
216,0,0,0,0,0,1,0,1,1,0,0,1,0,4,5,9
221,0,0,0,0,0,0,0,0,2,1,0,2,0,5,9,14
222,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3,5
223,0,0,0,0,0,0,0,2,1,1,0,2,0,6,1,7
224,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,5
225,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2
226,0,0,0,1,0,1,0,2,1,2,0,2,0,9,3,12
231,0,0,0,3,8,2,0,1,1,1,0,2,0,18,10,28
232,0,0,0,1,1,3,0,1,0,1,0,1,0,8,12,20
233,0,0,0,4,1,4,0,0,0,4,1,0,0,14,10,24
234,0,0,0,2,1,1,0,0,0,1,0,0,0,5,4,9
235,0,0,0,2,1,1,0,0,2,1,0,5,0,12,9,21
241,0,0,0,0,1,0,0,0,1,0,0,4,0,6,4,10
242,0,0,0,2,1,3,1,0,2,2,0,7,0,18,3,21
243,0,0,0,1,1,0,0,0,0,0,0,4,0,6,3,9
244,0,0,0,1,0,4,0,1,0,0,0,1,0,7,3,10
251,0,0,0,1,0,2,0,1,0,0,0,1,0,5,4,9
252,0,0,0,2,6,3,1,1,0,1,0,0,0,14,5,19
253,0,0,0,0,0,2,0,1,0,0,0,0,0,3,2,5
271,0,0,0,0,1,2,0,2,0,0,0,1,0,6,3,9
272,0,0,0,1,0,1,0,1,1,1,1,3,0,9,5,14
273,0,0,0,2,0,0,2,0,0,3,1,1,0,9,4,13
274,0,0,0,0,0,0,0,1,1,1,2,0,0,5,2,7
281,0,0,0,1,0,0,0,0,0,0,1,1,0,3,4,7
282,0,0,0,1,0,4,0,3,1,4,1,0,0,14,6,20
291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
292,0,0,1,1,6,0,0,0,0,1,0,1,0,10,8,18
293,0,0,0,0,1,1,0,2,0,1,0,2,0,7,4,11
301,0,0,0,0,0,0,0,0,1,2,0,0,1,4,4,8
302,0,0,0,1,0,1,0,1,0,0,0,0,0,3,6,9
303,0,0,0,0,0,1,0,1,1,0,0,0,0,3,1,4
304,0,0,0,0,1,0,0,1,0,1,0,0,0,3,4,7
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
313,0,0,0,3,0,0,0,0,0,1,1,0,0,5,2,7
314,0,0,0,1,0,0,0,0,0,0,0,1,0,2,5,7
315,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,3
316,0,0,0,1,3,0,0,1,0,2,0,0,0,7,2,9
321,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4
322,0,0,0,1,0,1,0,0,-1,0,0,0,0,1,1,2
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,1,3,0,0,1,2,0,3,0,10,5,15
332,0,0,0,1,0,0,0,1,0,0,0,1,1,4,4,8
333,0,0,0,0,0,4,1,0,0,3,0,0,0,8,3,11
334,0,0,0,1,0,1,0,0,1,2,0,1,0,6,1,7
335,0,0,0,0,0,1,0,3,0,2,2,1,0,9,3,12
336,0,0,0,0,0,1,0,0,1,1,1,0,0,4,2,6
341,0,0,0,1,6,5,0,0,0,0,0,3,0,15,3,18
342,0,0,0,4,0,1,0,0,0,2,0,1,0,8,7,15
343,0,0,0,0,2,1,0,0,0,1,0,1,0,5,5,10
351,0,0,0,1,0,0,0,2,1,0,0,1,0,5,4,9
352,0,0,0,2,0,1,0,1,0,2,1,1,0,8,6,14
353,0,0,0,0,0,1,0,0,0,1,0,2,0,4,1,5
354,0,0,0,1,0,3,0,0,0,1,0,0,0,5,6,11
361,0,0,0,0,3,3,0,0,1,3,2,2,0,14,6,20
362,0,0,0,0,0,1,0,3,0,1,0,1,0,6,10,16
371,0,0,0,1,0,0,1,0,0,2,0,0,0,4,7,11
372,0,0,0,1,2,2,0,2,1,1,1,0,0,10,6,16
373,0,0,0,0,1,1,0,0,0,0,0,2,0,4,3,7
374,0,0,0,1,0,0,0,0,1,0,0,0,0,2,9,11
381,0,0,0,0,0,0,0,0,0,1,0,1,1,3,4,7
382,0,0,0,0,1,0,0,3,1,0,0,1,0,6,8,14
383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
384,0,0,0,0,2,0,0,0,1,3,1,1,0,8,3,11
392,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,5
393,0,0,0,0,0,0,0,1,0,1,1,0,0,3,2,5
401,0,0,0,0,0,2,0,0,0,1,0,0,0,3,1,4
402,0,0,0,1,0,0,0,0,1,1,0,0,0,3,1,4
403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,0,0,0,2,1,3,2,1,0,0,0,0,0,9,6,15
412,0,0,0,0,0,2,0,0,0,0,0,1,0,3,1,4
413,0,0,0,0,0,5,0,1,0,0,0,0,1,7,2,9
414,0,0,0,0,0,1,0,0,1,1,1,2,0,6,7,13
415,0,0,0,0,0,2,1,2,1,2,0,1,0,9,0,9
421,0,0,0,1,1,2,1,1,1,1,0,0,0,8,1,9
422,0,0,0,0,1,3,0,0,1,0,1,1,0,7,7,14
423,0,0,0,1,0,5,0,2,0,4,1,0,0,13,8,21
431,0,0,0,0,0,2,0,0,0,1,0,0,0,3,2,5
432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
434,0,0,0,0,1,1,0,0,0,1,0,1,0,4,4,8
441,0,0,0,1,1,2,0,1,0,0,0,2,0,7,1,8
442,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,3
451,0,0,0,0,0,7,0,3,0,1,0,0,0,11,6,17
452,0,0,0,0,1,2,0,3,0,0,0,0,0,6,3,9
453,0,0,1,1,0,0,0,2,0,1,0,3,0,8,3,11
454,0,0,0,0,1,1,0,7,0,0,0,0,0,9,6,15
461,0,0,0,0,0,0,0,1,1,1,0,0,0,3,7,10
462,0,0,0,0,2,0,0,1,0,0,0,0,0,3,6,9
463,0,0,0,1,0,1,2,2,1,2,0,1,0,10,6,16
464,0,0,0,0,2,1,0,1,0,2,0,0,0,6,5,11
470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
471,0,0,0,0,0,0,0,1,1,0,0,1,0,3,2,5
472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
481,0,0,0,0,0,0,0,0,1,3,0,1,0,5,0,5
482,0,0,0,0,3,0,0,1,0,0,0,3,0,7,2,9
483,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
491,0,0,0,0,0,1,1,0,0,1,0,0,0,3,1,4
493,0,0,0,0,0,0,0,0,0,1,0,2,0,3,3,6
501,-1,0,0,3,0,0,1,1,2,5,0,2,0,13,8,21
502,0,0,0,0,0,3,0,1,0,1,0,1,0,6,7,13
503,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,3
511,0,0,0,1,0,0,0,0,2,0,0,2,0,5,5,10
512,0,0,0,1,0,1,1,0,0,0,0,0,0,3,4,7
521,0,0,0,1,1,0,1,2,0,1,0,1,0,7,9,16
522,0,0,0,1,1,0,0,0,0,0,0,2,0,4,3,7
523,0,0,0,0,1,0,1,3,0,1,0,-1,0,5,3,8
524,0,0,0,2,0,2,1,3,1,1,0,1,0,11,6,17
531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,0,0,0,0,0,7,0,0,2,0,0,1,0,10,2,12
533,0,0,0,0,0,2,0,1,0,0,0,2,0,5,5,10
534,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,3
541,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
543,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3,5
544,0,0,0,0,0,2,1,0,0,0,0,1,0,4,1,5
545,0,0,0,0,1,0,0,3,0,0,1,0,0,5,6,11
546,0,0,0,1,1,0,0,1,0,3,0,1,0,7,4,11
551,0,0,0,0,1,0,1,2,0,1,0,1,0,6,6,12
552,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,4
553,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,3
554,0,0,0,0,0,2,1,1,0,3,0,0,0,7,3,10
561,0,0,0,0,0,0,0,0,1,1,0,2,0,4,4,8
562,0,0,0,0,0,1,1,2,0,3,1,1,0,9,3,12
563,0,0,0,0,0,0,1,1,0,0,0,1,0,3,3,6
571,0,0,0,1,0,2,0,1,0,1,1,2,1,9,8,17
572,0,0,0,0,0,0,1,0,0,2,2,1,0,6,4,10
581,0,0,0,0,0,0,0,3,0,3,0,1,0,7,0,7
582,0,0,0,0,0,1,0,2,1,0,0,0,0,4,1,5
583,0,0,0,0,1,0,0,1,1,1,1,0,0,5,12,17
584,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
593,0,0,0,0,0,0,1,0,0,4,0,0,0,5,0,5
595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
601,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2
602,0,0,0,0,0,1,0,1,0,2,0,0,0,4,4,8
603,0,0,0,0,0,0,0,1,0,1,0,0,0,2,3,5
604,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
610,0,0,0,0,0,1,0,0,1,3,1,0,0,6,2,8
621,0,0,0,0,0,0,3,1,2,2,0,0,0,8,4,12
622,0,0,0,0,0,1,1,3,0,3,0,0,0,8,2,10
623,0,0,0,0,0,0,0,0,2,2,0,0,0,4,3,7
624,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631,0,0,0,0,0,4,0,0,0,1,0,0,0,5,2,7
632,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
634,0,0,0,0,0,2,2,3,1,3,0,1,0,12,5,17
635,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,0,0,0,0,0,2,0,0,0,1,0,0,0,3,1,4
642,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
643,0,0,0,0,0,1,0,2,3,2,0,0,0,8,2,10
644,0,0,0,0,1,1,0,0,2,3,0,0,0,7,2,9
645,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2
646,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
651,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
652,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,3
653,1,0,0,0,0,1,0,2,2,1,0,1,0,8,3,11
654,0,0,0,0,0,3,1,6,4,8,0,1,0,23,5,28
655,0,0,0,0,0,0,2,2,0,0,1,0,0,5,1,6
