RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
020,0,0,0,0,0,0,1,2,0,1,0,1,0,5,5,10
021,0,0,0,0,0,0,0,4,1,0,0,0,0,5,0,5
030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
043,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
045,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,4
051,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
052,0,0,0,1,0,0,0,0,0,0,0,1,0,2,5,7
053,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
061,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4
062,0,0,0,1,1,1,0,1,0,0,0,0,0,4,4,8
063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
064,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,4
071,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,2
072,0,0,0,0,0,1,0,0,1,2,0,2,0,6,2,8
073,0,0,0,0,0,1,0,2,0,1,0,0,0,4,12,16
074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
076,0,0,0,0,0,1,0,0,0,2,0,0,0,3,5,8
081,0,0,0,0,2,0,0,0,0,4,2,0,1,9,8,17
082,0,0,0,3,0,1,2,2,1,1,1,2,0,13,8,21
083,0,0,0,0,0,0,0,0,0,0,1,2,0,3,2,5
084,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
085,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
091,0,0,0,0,0,2,2,0,0,6,0,2,0,12,3,15
092,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,4
093,0,0,0,0,1,1,0,0,0,1,0,0,0,3,3,6
094,1,0,0,0,0,1,0,0,0,0,0,0,0,2,14,16
101,0,0,0,0,0,1,0,1,0,1,0,1,0,4,1,5
103,0,0,0,0,0,2,0,1,0,1,0,0,1,5,2,7
104,0,0,0,0,0,0,0,1,0,1,0,1,0,3,4,7
111,0,0,0,1,1,0,0,0,0,2,1,0,0,5,9,14
112,0,0,0,1,0,0,0,0,0,4,0,1,0,6,6,12
113,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,6
114,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
121,0,0,0,3,0,2,0,0,0,0,0,0,0,5,2,7
122,0,0,0,1,0,0,0,1,0,1,0,2,0,5,7,12
123,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,5
124,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3
131,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,6
132,0,0,0,0,0,3,0,1,0,1,0,1,0,6,2,8
133,0,0,0,0,0,1,0,0,0,0,0,1,0,2,5,7
134,0,0,0,1,8,1,0,0,0,0,0,0,0,10,2,12
141,0,0,0,0,0,1,1,2,0,0,0,2,0,6,1,7
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
143,0,0,0,0,0,0,0,1,0,2,0,0,0,3,4,7
144,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2
