RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
020,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,4
021,0,0,0,0,1,0,0,2,2,1,0,0,0,6,0,6
030,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
031,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
041,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,3
042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
043,0,0,0,0,0,0,3,0,0,1,0,1,0,5,1,6
044,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
045,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,3
051,0,0,0,0,0,1,0,0,0,1,0,0,0,2,7,9
052,0,0,0,1,2,1,0,0,1,0,0,0,0,5,1,6
053,0,0,0,0,1,0,0,0,0,1,0,0,0,2,11,13
061,0,0,0,1,1,1,0,0,1,0,0,0,0,4,1,5
062,0,0,0,0,0,0,0,1,0,0,0,1,0,2,3,5
063,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3
064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
071,0,0,0,3,0,0,2,1,0,0,0,0,0,6,3,9
072,0,0,0,0,0,1,0,1,0,0,0,1,0,3,2,5
073,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
075,0,0,0,1,0,1,0,0,0,0,0,1,0,3,4,7
076,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3
081,0,0,0,0,2,0,0,0,0,2,1,0,0,5,10,15
082,0,0,0,0,1,2,0,0,0,2,0,0,1,6,10,16
083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
091,0,0,0,1,1,1,0,2,1,1,0,2,0,9,9,18
092,0,0,1,0,0,0,0,1,0,3,0,0,0,5,2,7
093,0,0,0,0,2,3,0,1,1,1,0,3,0,11,7,18
094,0,0,0,0,1,0,0,2,1,1,1,1,0,7,9,16
101,0,0,0,0,0,2,0,0,0,1,0,4,0,7,2,9
103,0,0,0,0,0,1,0,0,0,2,0,1,0,4,6,10
104,0,0,0,0,0,1,0,0,1,1,0,0,0,3,4,7
111,0,0,0,2,4,0,0,0,0,1,0,0,0,7,5,12
112,0,0,0,1,1,0,0,0,0,1,1,0,0,4,15,19
113,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
114,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3
121,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,3
122,0,0,0,1,3,1,0,0,0,2,0,0,0,7,6,13
123,0,0,0,0,1,0,0,0,0,2,0,1,0,4,3,7
