RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3
021,0,0,0,0,0,0,0,-2,1,0,0,0,0,-1,1,0
030,0,0,0,0,1,0,0,0,0,0,0,2,0,3,3,6
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
041,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
042,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,3
043,0,0,0,0,0,0,1,0,2,2,0,2,0,7,0,7
044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
051,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2
052,0,0,0,1,0,0,0,2,1,0,0,2,0,6,7,13
053,0,0,0,0,0,0,1,0,1,0,0,0,0,2,10,12
061,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,3
062,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,4
063,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2
064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
071,0,0,0,0,0,0,0,3,0,0,1,3,0,7,3,10
072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
073,0,0,0,1,0,1,0,0,0,1,0,0,0,3,1,4
074,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
075,0,0,0,0,0,1,0,0,0,1,0,2,0,4,3,7
076,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,3
081,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,7
082,0,0,0,0,0,0,2,2,2,2,0,3,0,11,5,16
083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
091,0,0,0,0,0,0,0,0,1,2,1,1,0,5,4,9
092,0,0,0,0,0,2,0,1,0,2,0,1,0,6,3,9
093,0,0,0,1,0,2,0,1,1,0,0,1,0,6,5,11
094,0,0,0,0,0,1,0,1,1,1,2,1,0,7,4,11
101,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,8
102,0,0,0,0,1,1,0,1,1,1,0,1,0,6,4,10
104,0,0,0,0,0,1,0,0,0,0,1,0,0,2,6,8
111,0,0,0,1,1,1,0,0,0,0,0,0,0,3,6,9
112,0,0,0,1,0,0,0,1,0,0,1,1,0,4,15,19
113,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,3
114,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,4
121,0,0,0,0,0,1,0,1,0,0,0,0,0,2,6,8
122,0,0,0,1,1,1,0,2,1,1,0,0,0,7,7,14
123,0,0,0,0,1,1,0,0,1,0,0,2,0,5,2,7
124,0,0,0,0,0,1,0,0,1,0,0,1,0,3,1,4
131,0,0,0,0,1,1,0,0,0,2,0,0,0,4,0,4
132,0,0,0,0,1,0,0,0,1,0,0,0,0,2,4,6
133,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,3
134,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,3
141,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
142,0,0,0,0,0,1,1,0,0,1,0,0,0,3,4,7
143,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
144,0,0,0,0,0,4,0,2,0,1,0,0,0,7,0,7
151,0,0,0,0,1,1,0,4,1,2,1,0,0,10,4,14
152,0,0,0,0,0,1,0,2,1,4,1,-1,0,8,9,17
153,0,0,0,1,0,0,0,0,3,1,1,0,0,6,2,8
161,0,0,0,1,0,0,0,1,0,2,0,1,0,5,9,14
162,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,5
163,0,0,0,1,1,0,3,0,2,4,0,1,0,12,12,24
164,0,0,1,0,1,1,2,1,1,12,1,2,0,22,7,29
171,0,0,0,1,1,0,0,0,0,1,0,0,0,3,3,6
172,0,0,0,0,0,2,0,0,0,0,0,1,0,3,7,10
173,0,0,0,0,2,0,1,0,0,0,0,0,0,3,4,7
174,0,0,0,0,0,0,0,0,0,2,0,1,0,3,2,5
181,0,0,0,1,0,0,0,0,1,0,1,1,0,4,6,10
182,0,0,0,1,1,0,0,1,1,0,0,0,0,4,5,9
183,0,0,0,0,0,0,0,0,1,2,0,0,0,3,5,8
184,0,0,0,0,0,1,0,0,1,3,0,1,0,6,9,15
191,0,0,0,0,0,0,1,2,0,0,0,0,0,3,7,10
192,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,7
193,0,0,0,2,1,0,0,0,0,1,0,2,0,6,11,17
194,0,0,0,1,0,1,0,1,0,1,0,0,0,4,4,8
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
203,0,0,0,0,1,0,0,0,1,0,0,2,0,4,1,5
204,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3
211,0,0,0,0,0,1,0,0,1,0,0,1,0,3,1,4
212,0,0,0,0,0,0,0,1,0,1,0,0,0,2,4,6
213,0,0,0,1,1,0,3,0,0,0,0,0,0,5,0,5
214,0,0,0,0,0,0,1,0,1,1,0,0,0,3,5,8
