RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1
010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020,0,0,0,0,0,0,2,2,3,0,1,0,0,8
021,0,0,0,0,1,0,0,0,0,1,0,0,0,2
030,0,0,0,0,0,0,1,0,2,0,0,0,0,3
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041,0,0,0,0,0,0,0,0,1,1,0,0,0,2
042,0,0,0,0,0,0,0,1,0,1,0,3,0,5
043,0,0,0,0,0,1,1,0,1,1,0,1,0,5
044,0,0,0,0,0,0,0,1,0,0,0,1,0,2
051,0,0,0,1,0,2,0,0,0,0,0,0,0,3
052,0,0,1,1,4,0,1,2,0,0,0,0,1,10
053,0,0,0,0,0,0,0,0,0,2,0,1,0,3
061,0,0,0,0,0,0,0,0,0,1,0,0,0,1
062,0,0,0,0,1,1,0,0,0,0,0,1,0,3
063,0,0,0,0,0,2,0,0,0,0,0,0,0,2
064,0,0,0,0,1,1,0,0,0,0,0,1,0,3
071,0,0,0,0,3,1,0,2,1,1,0,5,0,13
072,0,0,0,1,-1,0,0,0,0,1,0,2,0,3
073,0,0,0,1,1,2,0,1,1,1,0,1,0,8
074,0,0,0,0,0,1,0,1,0,0,0,0,0,2
075,0,0,0,0,0,0,0,0,1,1,0,0,0,2
076,0,0,0,0,2,1,0,0,1,2,0,1,0,7
081,0,0,0,0,0,0,0,0,0,1,0,0,0,1
082,0,0,1,0,2,1,6,2,2,4,3,1,0,22
083,0,0,0,0,0,0,0,0,0,1,0,0,0,1
084,0,0,0,0,0,0,0,0,1,0,0,0,0,1
085,0,0,0,0,0,0,0,0,0,0,0,1,0,1
091,0,0,0,0,0,3,0,3,0,0,3,2,0,11
092,0,0,0,0,5,1,0,0,0,0,0,1,0,7
093,0,0,0,0,0,0,0,0,0,0,0,1,0,1
094,0,0,0,0,0,1,0,0,0,0,2,1,0,4
101,0,0,0,1,2,0,0,0,0,0,0,1,1,5
102,0,0,0,1,1,0,0,0,1,1,0,2,0,6
104,0,0,0,0,0,0,0,1,1,0,0,2,0,4
111,0,0,1,1,0,0,0,1,0,0,2,1,0,6
112,1,0,0,1,4,0,0,0,1,0,0,2,1,10
113,0,0,0,1,0,0,0,0,0,0,0,0,0,1
114,0,0,0,0,0,0,0,0,0,1,0,0,0,1
121,0,0,0,0,0,0,0,1,0,0,1,3,1,6
122,0,0,0,1,2,2,0,0,0,0,1,0,1,7
123,0,0,0,0,1,2,1,1,0,2,0,0,0,7
124,0,0,0,0,0,1,0,0,0,0,0,0,0,1
131,0,0,0,0,0,2,1,0,0,1,0,0,0,4
132,0,0,0,0,2,2,0,1,0,3,0,0,0,8
133,0,0,0,0,0,2,0,1,0,0,0,1,0,4
134,0,0,0,1,0,1,0,0,0,2,0,0,0,4
141,0,0,0,0,0,2,0,0,0,2,0,0,0,4
142,0,0,0,0,1,0,1,1,0,3,0,0,0,6
143,0,0,0,0,0,3,0,0,0,1,0,0,0,4
144,0,0,0,0,0,0,0,0,1,0,0,1,0,2
151,0,0,0,0,0,0,1,1,0,0,1,1,0,4
152,0,0,0,0,0,0,0,0,1,4,0,0,0,5
153,0,0,0,1,3,0,1,0,1,3,1,0,0,10
161,0,0,0,1,2,2,1,1,1,4,1,1,1,15
162,0,0,0,0,0,2,0,1,0,1,2,0,0,6
163,0,0,0,0,0,1,0,4,2,4,4,2,0,17
164,0,0,0,1,0,0,1,0,0,5,3,1,0,11
171,0,0,0,0,0,0,0,0,1,0,1,4,0,6
172,0,0,0,2,1,0,1,1,0,1,0,1,0,7
173,0,0,0,2,0,1,0,0,0,2,0,2,0,7
174,0,0,0,1,-1,1,1,0,1,6,0,0,0,9
181,0,0,0,1,1,1,0,0,0,1,0,1,0,5
182,0,0,0,0,2,0,0,0,0,0,0,1,0,3
183,0,0,0,0,0,0,0,0,0,1,0,1,0,2
184,0,0,0,2,5,0,1,0,0,2,0,2,0,12
191,0,0,0,0,1,1,0,0,0,0,0,1,0,3
192,0,0,0,0,1,0,0,0,0,0,0,3,0,4
193,0,0,0,2,3,1,2,0,0,0,0,0,0,8
194,0,0,0,2,3,1,0,1,2,0,0,0,1,10
202,0,0,1,1,0,0,0,0,0,1,0,4,0,7
203,0,0,0,1,0,1,0,0,0,1,0,0,0,3
204,0,0,0,1,0,2,0,3,0,2,0,0,0,8
211,0,0,0,0,0,0,0,3,0,0,0,0,0,3
212,0,0,0,0,0,0,0,1,0,2,0,0,0,3
213,0,0,0,0,0,0,0,2,1,0,0,0,0,3
214,0,0,0,1,0,0,2,0,0,1,0,0,0,4
215,0,0,0,0,0,0,0,2,0,0,0,1,0,3
216,0,0,0,0,0,1,0,0,0,0,0,2,0,3
221,0,0,0,1,0,0,2,0,0,1,0,0,1,5
222,0,0,0,0,0,1,0,0,1,0,0,0,0,2
223,0,0,0,1,0,1,0,1,0,1,0,0,0,4
224,0,0,0,1,0,6,0,3,2,4,0,1,0,17
225,0,0,0,0,0,0,0,1,0,2,0,0,0,3
226,0,0,0,0,0,0,0,2,1,0,0,3,0,6
231,0,0,0,6,3,0,0,3,2,1,0,4,0,19
232,0,0,0,3,1,1,1,0,1,1,1,3,0,12
233,0,0,0,0,2,1,1,2,2,3,3,1,0,15
234,0,0,0,1,0,1,1,1,0,1,1,2,0,8
235,0,0,0,1,0,2,0,3,1,0,1,5,0,13
241,0,0,2,1,14,1,0,0,0,1,0,1,0,20
242,0,0,0,5,0,2,0,11,0,3,0,13,0,34
243,0,0,0,0,2,0,0,0,0,0,0,1,0,3
244,0,0,0,0,0,2,0,1,1,0,0,1,0,5
251,0,0,0,1,2,3,0,1,1,0,1,3,0,12
252,1,0,0,1,5,0,0,1,0,2,0,2,1,13
253,0,0,0,2,0,0,0,0,0,1,0,0,0,3
271,0,0,0,1,1,0,0,1,0,0,0,3,0,6
272,0,0,0,0,0,3,0,1,2,1,0,1,0,8
273,0,0,0,0,0,2,0,1,0,1,1,1,0,6
274,0,0,0,0,1,0,0,0,0,2,0,0,0,3
281,0,0,0,0,0,2,0,2,0,0,0,1,0,5
282,0,0,0,0,0,0,0,0,1,2,0,2,0,5
291,0,0,0,0,1,0,2,0,0,0,0,2,1,6
292,0,0,1,0,3,3,2,0,1,2,0,1,0,13
293,0,0,0,2,1,0,0,0,0,2,0,0,0,5
301,0,0,0,0,0,0,1,1,1,0,0,1,0,4
302,0,0,0,0,0,1,1,1,0,1,0,1,0,5
303,0,0,0,0,0,0,1,1,1,0,0,1,0,4
304,0,0,0,0,0,0,0,0,0,1,0,0,0,1
311,0,0,0,1,0,0,0,0,0,0,0,0,0,1
312,1,0,0,0,1,0,0,1,0,0,0,0,0,3
313,0,0,0,1,0,0,1,0,0,3,1,0,0,6
314,0,0,0,1,0,1,0,0,1,1,1,0,0,5
315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,0,0,0,1,0,0,0,0,1,1,0,0,0,3
321,0,0,0,0,0,1,0,0,0,1,0,0,0,2
322,0,0,0,0,0,3,1,0,0,0,0,1,0,5
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,3,4,4,0,0,1,1,0,1,0,14
332,0,0,0,0,0,0,0,0,0,0,0,1,0,1
333,0,0,0,3,1,2,3,0,1,0,0,1,0,11
334,0,0,0,0,0,5,1,2,0,1,2,0,0,11
335,0,0,0,0,0,1,1,1,1,1,0,0,0,5
336,0,0,0,2,2,2,0,0,0,0,0,1,0,7
341,0,0,0,3,1,3,0,2,2,0,0,3,0,14
342,0,0,0,3,1,4,1,2,2,0,1,2,0,16
343,0,0,0,1,1,1,0,2,0,1,1,4,0,11
351,0,0,0,1,1,1,0,3,2,0,2,1,0,11
352,0,0,0,2,1,1,1,2,1,0,1,0,0,9
353,0,0,0,0,0,1,0,1,2,0,1,1,0,6
354,0,0,0,0,0,2,0,1,1,0,3,1,0,8
361,0,0,0,1,0,1,0,3,1,2,0,1,0,9
362,0,0,0,0,0,2,0,0,0,2,1,3,0,8
371,0,0,0,1,1,2,0,1,0,1,0,0,0,6
372,0,0,0,1,0,2,0,2,1,2,0,0,0,8
373,0,0,0,0,2,0,0,0,0,0,0,0,0,2
374,0,0,0,0,1,1,0,1,1,0,0,0,0,4
381,0,0,0,0,0,0,0,0,1,0,1,1,0,3
382,0,0,0,0,0,0,0,0,0,0,1,3,1,5
383,0,0,0,3,1,0,0,2,0,0,0,3,0,9
384,0,0,0,1,1,0,2,0,1,1,0,4,1,11
392,0,0,0,2,1,0,1,0,0,0,0,0,0,4
393,0,0,0,0,0,0,0,0,0,2,1,0,0,3
401,0,0,0,0,0,1,0,0,0,1,0,0,0,2
402,0,0,0,0,1,1,1,1,0,0,1,0,0,5
403,0,0,0,0,0,0,0,0,1,0,0,0,0,1
411,0,0,0,0,1,2,0,1,0,0,0,0,0,4
412,0,0,0,0,0,4,0,0,0,2,0,0,0,6
413,0,0,0,0,4,3,0,2,0,0,1,1,0,11
414,0,0,0,0,1,2,0,2,2,3,0,3,0,13
415,0,0,0,0,0,2,2,2,1,1,0,0,0,8
421,0,0,0,3,1,1,0,0,0,1,0,1,0,7
422,0,0,0,0,2,2,0,2,0,1,0,5,0,12
423,0,0,0,0,0,3,0,0,0,0,0,6,0,9
431,0,0,0,0,0,1,0,2,0,1,1,0,0,5
432,0,0,0,0,0,1,0,1,0,0,0,0,0,2
433,0,0,0,0,1,3,0,4,2,0,1,1,1,13
434,0,0,0,0,1,0,1,7,1,0,2,3,0,15
441,0,0,0,0,1,2,2,0,0,4,0,1,0,10
442,0,0,0,0,0,1,0,3,0,3,1,1,0,9
451,0,0,0,3,1,3,0,3,0,1,1,4,1,17
452,0,0,0,0,0,1,0,1,1,1,0,1,1,6
453,0,0,0,1,0,0,1,1,1,1,0,2,0,7
454,0,0,0,1,1,1,0,1,1,0,0,1,0,6
461,0,0,0,0,0,2,0,0,0,1,0,1,0,4
462,0,0,0,0,0,0,0,0,0,0,1,3,0,4
463,0,0,0,0,1,0,2,3,0,0,0,2,0,8
464,0,0,0,0,0,1,0,2,0,0,0,2,1,6
470,0,0,0,0,0,0,0,0,0,0,0,1,0,1
471,0,0,0,0,2,0,0,2,0,0,0,1,0,5
472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,2,1,0,0,0,0,3
474,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,0,0,0,0,1,0,0,0,1,2,0,0,0,4
482,0,0,0,0,0,0,0,1,0,0,0,0,0,1
483,0,0,0,0,0,0,0,0,0,0,0,2,0,2
491,0,0,0,0,0,2,1,1,3,1,0,1,0,9
493,0,0,0,0,0,1,0,0,1,0,0,0,0,2
501,0,0,0,0,3,3,3,1,3,5,0,1,0,19
502,0,0,0,0,2,1,0,1,0,1,2,2,0,9
503,0,0,0,0,0,-1,2,1,0,0,2,2,0,6
511,0,0,0,1,4,4,1,3,1,2,0,6,0,22
512,0,0,0,1,0,3,4,3,2,0,0,2,0,15
521,0,0,1,1,0,3,0,3,0,3,0,0,0,11
522,0,0,0,0,0,2,0,1,0,2,0,3,0,8
523,0,0,0,0,0,3,0,1,1,5,0,3,0,13
524,0,0,0,1,0,1,0,4,3,3,0,5,1,18
531,0,0,0,0,0,1,0,2,0,1,0,1,0,5
532,0,0,0,0,0,0,0,4,1,1,2,0,0,8
533,0,0,0,0,1,1,0,2,1,1,0,1,0,7
534,0,0,0,1,0,0,0,1,1,0,0,1,0,4
541,0,0,1,0,0,0,1,2,0,0,0,0,0,4
542,0,0,0,1,1,2,0,0,0,0,0,1,0,5
543,0,0,0,0,0,0,0,1,1,0,1,0,0,3
