RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
020,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,4
021,0,0,0,0,0,0,0,3,0,2,0,0,0,5,1,6
030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
042,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,3
043,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,0
044,0,0,0,0,0,0,0,0,0,1,0,2,0,3,2,5
045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
051,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
052,0,0,0,1,1,1,0,0,0,0,0,1,0,4,10,14
053,0,0,0,0,2,0,0,0,2,3,0,0,0,7,9,16
061,0,0,0,1,1,0,1,0,0,0,0,0,0,3,2,5
062,0,0,0,0,0,1,1,1,0,0,0,0,0,3,1,4
063,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
064,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,4
071,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,4
072,0,0,0,0,2,0,0,0,1,0,0,0,0,3,1,4
073,0,0,0,0,0,4,0,0,0,0,0,1,0,5,3,8
074,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,5
075,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,6
076,0,0,0,0,0,4,0,1,1,0,0,0,0,6,1,7
081,0,0,0,0,0,0,0,0,0,2,1,3,0,6,17,23
082,0,0,0,0,1,0,2,2,0,2,0,0,0,7,11,18
083,0,0,0,0,0,0,1,1,0,0,1,0,0,3,5,8
084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091,0,0,0,0,0,1,1,1,0,4,0,4,0,11,6,17
092,0,0,0,0,1,1,0,0,0,0,0,1,0,3,6,9
093,0,0,0,0,1,1,0,0,0,1,1,1,0,5,2,7
094,0,0,0,1,0,0,0,0,0,0,0,1,0,2,5,7
101,0,0,0,0,0,1,0,0,0,0,0,1,0,2,7,9
103,0,0,0,0,2,1,1,1,1,0,0,0,0,6,3,9
104,0,0,0,1,0,3,0,1,0,2,0,0,0,7,2,9
111,0,0,1,1,2,3,1,1,0,2,0,0,0,11,3,14
112,0,0,0,3,2,0,0,0,2,1,1,0,0,9,6,15
113,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
114,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3
121,0,0,0,1,0,1,0,1,0,0,0,1,0,4,1,5
122,0,0,0,0,2,0,0,0,0,3,0,1,0,6,19,25
123,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,5
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
132,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,5
133,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,4
134,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
141,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3,6
142,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3
143,0,0,0,0,0,1,0,1,0,1,0,0,0,3,1,4
144,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,5
151,0,0,0,1,0,0,1,0,1,3,0,1,1,8,4,12
152,0,0,0,1,1,0,1,2,2,3,0,1,0,11,5,16
153,0,0,0,0,0,0,0,2,0,1,2,0,0,5,4,9
161,0,0,-1,0,1,2,0,2,0,3,1,0,0,8,10,18
