RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
020,0,0,0,0,0,0,0,0,1,0,0,2,0,3,3,6
021,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
031,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
041,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3
042,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3
043,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
051,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2
052,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,5
053,0,0,0,2,1,0,0,0,2,0,1,0,0,6,4,10
061,0,0,0,0,0,0,0,0,1,2,0,0,0,3,5,8
062,0,0,0,0,0,1,0,0,0,1,0,1,0,3,1,4
063,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3
064,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
071,0,0,0,0,0,1,1,2,1,2,0,1,0,8,3,11
072,0,0,0,1,0,1,0,0,2,0,0,0,0,4,6,10
073,0,0,0,0,0,0,0,3,1,1,0,1,0,6,4,10
074,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,3
075,0,0,0,0,0,2,0,0,0,0,0,0,0,2,6,8
076,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,5
081,0,0,0,0,0,0,0,0,1,1,0,0,0,2,10,12
082,0,0,0,1,1,0,0,1,0,1,3,4,1,12,15,27
083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091,0,0,0,0,0,4,0,1,0,3,0,0,0,8,6,14
092,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,4
093,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,5
094,0,0,0,0,2,2,0,0,0,2,0,0,0,6,4,10
101,0,0,0,1,0,1,1,1,1,0,0,0,0,5,3,8
103,0,0,0,0,1,1,0,0,0,1,0,1,0,4,9,13
