RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,8
021,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,4
030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
042,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,2
043,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
044,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
051,0,0,0,1,0,0,0,1,1,1,0,1,0,5,4,9
052,0,0,0,2,0,0,0,1,0,2,0,2,0,7,8,15
053,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,11
061,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,4
062,0,0,0,0,0,1,0,1,0,1,0,2,0,5,2,7
063,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2
064,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3
071,0,0,0,1,1,0,1,0,0,0,0,3,0,6,4,10
072,0,0,0,0,0,2,0,4,0,0,1,1,0,8,1,9
073,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3
074,0,0,0,0,0,0,1,0,0,1,0,1,0,3,2,5
075,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,5
076,0,0,1,0,0,3,1,0,0,1,0,1,0,7,3,10
081,0,0,0,0,0,0,0,0,0,3,1,0,0,4,10,14
082,0,0,0,0,0,0,1,0,1,4,2,2,0,10,8,18
083,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
084,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
085,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,3
091,0,0,0,2,3,2,1,3,1,2,3,1,1,19,6,25
092,0,0,0,0,0,0,0,0,1,2,0,0,0,3,4,7
093,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,3
094,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,6
101,0,0,0,2,0,0,0,1,0,2,0,1,0,6,7,13
102,0,0,0,0,1,3,0,1,0,0,2,1,0,8,4,12
104,0,0,0,0,0,0,0,1,0,1,0,0,0,2,3,5
111,0,0,0,0,0,2,0,4,1,1,0,6,0,14,11,25
112,0,0,0,3,3,0,0,0,0,1,0,2,1,10,10,20
113,0,0,0,0,0,1,2,1,0,1,0,1,0,6,1,7
114,0,0,0,1,0,0,0,0,0,0,1,0,0,2,4,6
121,0,0,0,0,0,0,1,1,0,1,0,1,0,4,6,10
122,0,0,0,1,1,2,0,1,0,1,2,3,0,11,11,22
123,0,0,0,0,0,2,0,0,0,2,0,0,0,4,4,8
124,0,0,0,0,0,2,0,0,0,1,0,1,0,4,0,4
131,0,0,0,2,0,0,0,2,0,1,0,0,0,5,4,9
132,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
133,0,0,0,0,0,2,0,0,0,0,0,1,0,3,2,5
134,0,0,0,0,0,3,1,0,0,1,0,1,0,6,2,8
141,0,0,0,1,0,0,0,2,2,1,0,3,0,9,0,9
142,0,0,0,0,1,0,0,2,0,1,1,0,0,5,3,8
143,0,0,0,0,0,3,0,1,0,1,0,0,0,5,1,6
144,0,0,0,0,0,2,0,2,0,0,0,1,0,5,1,6
151,0,0,0,1,1,0,0,0,1,1,2,1,0,7,6,13
152,0,0,0,1,1,2,1,1,6,2,1,1,0,16,2,18
153,0,0,0,0,1,0,0,2,0,3,0,0,0,6,10,16
161,0,0,0,0,0,1,4,0,1,4,3,2,0,15,10,25
162,0,0,0,0,1,0,0,0,0,0,2,1,0,4,1,5
163,0,0,0,0,1,0,1,0,2,3,2,0,0,9,6,15
164,0,0,0,2,0,2,8,1,2,13,2,2,0,32,7,39
171,0,0,0,2,1,0,0,1,1,0,1,0,0,6,3,9
172,0,0,0,2,0,2,0,0,0,1,0,1,0,6,5,11
173,0,0,0,0,0,3,0,0,0,1,1,1,0,6,10,16
174,0,0,0,1,0,0,1,1,1,6,0,5,0,15,4,19
181,0,0,0,0,4,0,0,2,0,0,1,1,0,8,3,11
182,0,0,0,0,4,1,0,0,0,1,0,2,0,8,2,10
183,0,0,0,0,0,1,0,2,0,0,0,2,0,5,5,10
184,0,0,0,1,2,2,1,3,0,1,1,4,0,15,11,26
191,0,0,0,1,0,0,0,1,0,1,0,1,0,4,4,8
192,0,0,0,0,1,0,0,1,0,0,0,1,0,3,4,7
193,0,0,2,1,0,0,0,0,0,0,0,3,0,6,3,9
194,0,0,0,2,0,0,1,0,0,4,0,1,0,8,2,10
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,0,0,0,0,0,1,1,0,0,2,0,2,0,6,3,9
204,0,0,0,1,0,2,0,1,1,0,0,0,0,5,4,9
211,0,0,0,1,0,0,1,3,0,1,0,1,0,7,1,8
212,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
214,0,0,0,1,0,0,5,0,0,0,0,0,0,6,3,9
215,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3
216,0,0,1,0,0,1,0,2,0,0,0,0,0,4,3,7
221,0,0,0,2,0,4,0,0,0,3,0,0,0,9,5,14
222,0,0,0,0,0,1,2,1,0,1,0,1,0,6,1,7
223,0,0,0,0,0,1,1,2,0,1,0,0,0,5,0,5
224,0,0,0,0,0,0,0,3,1,1,0,3,0,8,2,10
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,0,0,0,1,0,4,0,0,0,2,0,0,0,7,1,8
231,0,0,0,1,2,2,1,0,0,0,0,1,0,7,3,10
232,0,0,0,1,0,1,0,1,0,1,0,2,0,6,1,7
233,0,0,0,0,0,5,1,1,0,1,0,0,0,8,6,14
234,0,0,0,1,0,1,1,0,0,2,0,1,0,6,6,12
235,0,0,0,1,0,2,0,2,0,2,0,1,0,8,9,17
241,0,0,0,1,1,0,0,1,2,0,0,3,0,8,3,11
242,0,0,0,1,1,2,0,2,0,1,0,1,0,8,5,13
243,0,0,0,3,0,1,0,1,0,2,0,1,0,8,1,9
244,0,0,0,1,4,4,0,2,0,5,0,1,0,17,4,21
251,0,0,1,1,2,0,0,1,0,1,0,0,0,6,4,10
252,1,0,0,1,1,0,0,1,0,0,1,1,0,6,6,12
253,0,0,0,0,0,0,0,0,0,1,0,3,0,4,2,6
271,0,0,0,2,0,0,0,3,0,0,0,1,0,6,3,9
272,0,0,0,3,0,7,0,3,1,1,0,2,0,17,7,24
273,0,0,0,0,0,0,0,1,0,2,2,2,0,7,2,9
274,0,0,0,0,0,4,0,2,0,0,0,0,0,6,2,8
281,0,0,0,0,1,0,0,0,1,0,0,0,0,2,4,6
282,0,0,0,1,1,1,0,1,0,1,1,0,0,6,6,12
291,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
292,0,0,1,3,1,0,0,0,0,1,0,0,0,6,9,15
293,0,0,0,0,0,1,0,0,0,0,0,1,0,2,8,10
301,0,0,0,2,1,0,0,0,0,0,0,1,0,4,4,8
302,0,0,0,1,2,1,1,1,0,1,1,1,0,9,2,11
303,0,0,0,1,0,0,1,0,0,0,0,0,0,2,12,14
304,0,0,0,2,0,0,0,0,0,1,0,0,0,3,2,5
311,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
312,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,4
313,0,0,1,0,0,0,0,0,1,2,0,0,0,4,3,7
314,0,0,0,1,3,1,0,0,0,0,0,2,0,7,6,13
315,0,0,0,0,1,1,0,1,0,1,0,0,0,4,5,9
316,0,0,0,1,3,1,0,0,0,0,0,1,0,6,1,7
321,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3,5
322,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,2,1,0,1,1,0,1,0,6,5,11
332,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,3
333,0,0,0,0,0,2,1,0,3,6,0,0,0,12,4,16
334,0,0,0,0,0,1,0,0,0,3,0,2,0,6,1,7
335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
336,0,0,0,0,0,0,1,1,0,2,0,0,0,4,7,11
341,0,0,0,1,0,1,0,2,0,1,0,3,0,8,9,17
