RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020,0,0,0,1,0,0,1,0,2,0,0,0,0,4,1,5
021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
042,0,1,0,0,0,0,1,0,1,0,0,0,0,3,0,3
043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
051,0,0,0,0,0,4,0,1,0,0,0,1,0,6,1,7
052,0,0,0,0,0,1,0,0,0,1,1,0,0,3,9,12
053,0,0,1,0,1,0,0,0,1,1,0,0,0,4,9,13
061,0,0,0,1,1,3,0,1,0,0,0,2,0,8,4,12
062,0,0,0,1,2,1,0,0,0,1,0,0,0,5,1,6
063,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2
064,0,0,0,3,1,4,0,0,1,1,0,0,0,10,1,11
071,0,0,0,0,2,0,0,0,2,0,0,2,0,6,11,17
072,0,0,0,2,0,2,1,4,1,1,0,0,1,12,3,15
073,0,0,0,1,0,4,0,2,1,1,0,2,0,11,5,16
074,0,0,0,0,0,1,0,0,0,1,0,1,0,3,1,4
075,0,0,0,0,0,0,0,0,1,1,0,0,0,2,7,9
076,0,0,0,0,0,1,0,0,1,0,0,2,0,4,3,7
081,0,0,0,0,1,0,0,0,0,3,0,0,0,4,10,14
082,0,0,0,1,0,1,1,5,1,5,5,2,0,21,6,27
083,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
084,0,0,0,0,0,0,0,0,0,1,0,1,0,2,4,6
085,0,0,0,0,0,0,0,3,0,0,0,1,0,4,1,5
091,0,0,0,0,0,0,0,1,0,1,0,1,0,3,7,10
092,0,0,0,0,0,2,0,0,1,3,1,1,0,8,3,11
093,0,0,0,0,0,0,0,0,1,1,2,1,0,5,4,9
094,0,0,0,0,1,2,0,0,0,1,0,0,0,4,6,10
101,0,0,0,1,3,2,1,1,0,0,0,0,0,8,3,11
102,0,0,0,0,0,0,0,1,0,0,0,3,0,4,6,10
104,0,0,0,0,0,0,0,0,2,0,0,0,1,3,1,4
111,0,0,0,0,0,0,0,0,0,0,0,2,0,2,9,11
112,0,0,0,0,2,0,0,1,0,2,1,0,0,6,14,20
113,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
114,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,4
121,0,0,0,0,0,0,0,1,0,1,0,1,0,3,4,7
122,0,0,0,3,1,1,0,0,1,0,0,0,1,7,13,20
123,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,2
124,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
131,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,4
132,0,0,0,0,0,0,0,1,1,2,0,1,0,5,8,13
133,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,3
134,0,0,0,0,0,2,0,0,2,1,0,0,0,5,1,6
141,0,0,0,1,0,5,0,1,1,1,0,5,0,14,1,15
142,0,0,0,0,0,6,0,1,1,0,0,0,0,8,2,10
143,0,0,0,0,0,2,0,0,0,1,0,0,0,3,1,4
144,0,0,0,0,0,3,0,1,0,0,0,0,0,4,4,8
151,0,0,0,0,0,0,0,0,1,2,0,0,0,3,2,5
152,0,0,0,1,0,2,2,0,6,3,0,1,0,15,2,17
153,0,0,0,1,2,0,0,0,1,2,3,0,0,9,7,16
161,0,0,0,0,1,0,1,6,0,4,0,0,0,12,4,16
162,0,0,0,1,0,0,0,3,0,1,1,2,0,8,4,12
163,0,0,0,1,0,0,1,1,0,2,0,0,0,5,10,15
164,0,0,0,2,0,0,10,0,1,13,3,0,0,29,8,37
