RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
020,0,0,0,0,0,1,0,0,1,1,0,1,0,4,2,6
021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
030,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,4
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041,0,0,0,0,0,0,1,1,0,1,0,0,0,3,1,4
042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
043,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
044,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
051,0,0,0,1,1,1,1,0,0,0,0,0,0,4,2,6
052,0,0,0,3,0,1,0,0,0,0,0,0,0,4,6,10
053,0,0,0,1,0,0,0,0,0,2,0,0,0,3,12,15
061,0,0,0,0,0,1,0,1,2,0,0,1,0,5,3,8
062,0,0,0,0,1,2,0,1,0,3,0,1,0,8,2,10
063,0,0,0,0,0,2,0,0,0,0,0,1,0,3,1,4
064,0,0,0,0,0,0,1,0,2,0,0,1,0,4,0,4
071,0,0,0,0,1,0,0,1,0,0,0,0,0,2,5,7
072,0,0,0,1,4,0,0,1,0,3,0,2,0,11,9,20
073,0,0,0,0,1,1,0,1,0,2,0,2,0,7,3,10
074,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
075,0,0,0,0,2,1,0,0,0,1,0,0,0,4,5,9
076,0,0,0,0,0,1,0,0,0,1,0,2,0,4,1,5
081,0,0,0,0,1,0,0,0,0,1,4,1,0,7,12,19
082,0,0,0,1,3,2,0,4,1,3,1,2,0,17,7,24
083,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
084,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
085,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
091,0,0,0,3,1,1,1,1,0,1,2,2,0,12,5,17
092,0,0,0,0,2,1,0,0,0,2,1,0,0,6,8,14
093,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
094,0,0,0,1,0,0,0,1,1,1,0,0,0,4,6,10
101,0,0,0,0,0,1,0,0,2,1,1,2,0,7,7,14
102,0,0,0,1,5,2,0,0,1,3,0,1,0,13,8,21
104,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,4
111,0,0,0,1,1,6,0,2,0,4,0,0,0,14,3,17
112,0,0,0,0,3,1,0,0,1,2,0,2,0,9,8,17
113,0,0,0,0,1,0,1,0,0,0,0,1,0,3,2,5
114,0,0,0,0,0,0,1,0,0,1,0,1,0,3,3,6
121,0,0,0,0,1,1,0,1,0,4,0,4,0,11,3,14
122,0,0,0,2,4,7,0,1,1,1,0,1,0,17,7,24
123,0,0,0,0,1,4,0,1,0,4,0,0,0,10,1,11
124,0,0,0,0,0,3,0,0,0,0,0,3,0,6,0,6
131,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,6
132,0,0,0,0,0,3,0,1,0,0,0,2,0,6,7,13
133,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
134,0,0,0,0,0,1,1,0,0,0,0,1,0,3,1,4
141,0,0,0,0,0,2,0,1,0,2,0,1,0,6,0,6
142,0,0,0,0,0,3,1,3,0,3,1,0,0,11,2,13
143,0,0,0,0,0,4,0,0,2,0,0,0,0,6,1,7
144,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,3
151,0,0,0,0,0,0,0,1,0,3,0,1,0,5,4,9
152,0,0,1,0,3,0,4,9,2,2,3,0,0,24,6,30
153,0,0,0,0,0,0,0,2,1,1,0,0,0,4,7,11
161,0,0,0,2,2,1,1,1,3,0,2,0,0,12,10,22
162,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,5
163,0,0,0,0,0,1,0,0,1,3,1,0,0,6,6,12
164,0,0,0,3,1,2,5,1,1,13,5,2,0,33,6,39
171,1,0,0,1,0,0,2,1,0,1,0,0,0,6,1,7
172,0,0,0,2,0,1,0,2,0,1,0,0,0,6,6,12
173,0,0,0,2,0,1,1,0,1,0,0,1,0,6,12,18
174,0,0,0,1,0,0,0,1,0,5,0,1,0,8,5,13
181,0,0,0,1,1,2,1,1,0,2,0,1,0,9,7,16
182,0,0,0,2,2,0,0,0,0,0,0,1,1,6,6,12
183,0,0,0,1,2,0,0,0,0,1,0,2,0,6,4,10
184,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,7
191,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,6
192,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,5
193,0,0,1,0,0,2,0,0,0,4,1,0,0,8,6,14
194,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,8
202,0,0,0,0,0,0,0,1,1,0,0,3,0,5,0,5
203,0,0,0,2,2,0,0,0,1,2,0,3,0,10,4,14
204,0,0,0,2,0,0,0,0,1,2,0,0,0,5,2,7
211,0,0,0,0,0,0,0,3,0,1,0,0,0,4,3,7
212,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,9
213,0,0,0,1,1,0,0,0,0,1,0,1,0,4,1,5
214,0,0,0,2,0,0,3,0,0,2,1,0,0,8,3,11
215,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,3
216,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,4
221,0,0,0,1,0,4,0,0,0,1,1,1,0,8,3,11
222,0,0,1,0,0,1,1,0,0,1,0,0,0,4,3,7
223,0,0,0,2,0,6,0,2,1,0,1,0,0,12,2,14
224,0,0,0,1,1,5,0,2,0,2,0,0,1,12,2,14
225,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,3
226,0,0,0,1,0,1,0,2,1,3,0,0,0,8,5,13
231,0,0,0,3,0,3,0,1,0,2,0,3,0,12,7,19
232,0,0,1,0,1,4,0,0,0,4,1,-1,0,10,13,23
233,0,0,0,0,1,6,0,1,0,1,0,3,0,12,4,16
234,0,0,0,0,0,0,0,0,1,1,0,1,0,3,3,6
235,1,0,0,3,4,2,0,0,0,0,1,2,0,13,5,18
241,0,0,1,1,1,0,0,2,0,1,0,3,0,9,0,9
242,0,0,1,0,1,4,0,1,0,2,0,6,0,15,8,23
243,0,0,0,2,0,1,0,1,1,0,1,2,0,8,4,12
244,0,0,0,0,3,0,2,5,0,1,0,3,0,14,2,16
251,0,0,0,0,0,2,0,0,0,1,1,1,0,5,7,12
