RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,7
021,0,0,0,0,5,0,0,0,1,0,0,0,0,6,1,7
030,0,0,0,0,0,0,1,1,1,0,0,0,0,3,1,4
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
043,0,0,0,0,0,1,0,1,0,2,0,0,0,4,2,6
044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
051,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
052,0,0,1,2,1,0,0,0,0,1,0,3,0,8,6,14
053,0,0,0,0,0,0,0,1,0,1,0,0,0,2,15,17
061,0,0,0,1,0,1,0,1,0,2,0,0,0,5,2,7
062,0,0,0,1,0,1,0,0,1,0,0,0,0,3,3,6
063,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,4
064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
071,0,0,0,2,2,1,1,1,1,1,0,0,0,9,5,14
072,0,0,0,0,0,3,0,1,0,1,0,0,0,5,2,7
073,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,4
074,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3
075,0,0,0,0,0,1,0,1,0,0,0,1,0,3,3,6
076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
081,0,0,0,0,0,0,0,1,0,2,3,0,0,6,8,14
082,0,0,0,0,1,0,2,3,2,0,0,2,0,10,10,20
083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
084,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091,0,0,0,2,0,1,0,0,0,2,0,0,0,5,3,8
092,0,0,0,0,0,0,0,0,1,2,0,0,0,3,6,9
093,0,0,0,0,0,1,0,1,1,0,0,1,0,4,4,8
094,0,0,0,1,0,2,0,2,0,2,0,1,0,8,6,14
101,1,0,1,0,2,0,0,0,1,0,0,1,0,6,11,17
102,0,0,0,0,0,0,1,0,0,1,0,0,0,2,5,7
104,0,0,0,0,0,2,0,0,0,3,0,0,0,5,1,6
111,0,0,0,0,0,1,0,2,0,0,0,1,0,4,13,17
112,0,0,0,1,10,2,0,0,0,0,1,2,1,17,12,29
113,0,0,0,1,0,0,1,0,0,0,0,1,0,3,5,8
114,0,0,0,0,0,0,1,1,0,1,0,0,0,3,1,4
121,0,0,0,1,0,1,0,1,1,2,0,0,1,7,6,13
122,0,0,0,2,2,1,1,0,0,2,1,2,0,11,13,24
123,0,0,0,0,0,1,0,0,0,2,0,0,0,3,4,7
124,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,2
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
132,0,0,0,0,1,2,0,1,2,2,0,2,0,10,1,11
133,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
134,0,0,0,0,0,2,1,0,0,0,0,0,0,3,1,4
141,0,0,0,0,0,1,0,1,0,2,0,0,0,4,0,4
142,0,0,0,0,0,1,1,1,0,5,0,1,0,9,2,11
143,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3
144,0,0,0,0,0,1,0,1,1,1,1,0,0,5,0,5
151,0,0,0,0,0,0,0,0,1,0,1,1,0,3,4,7
152,0,0,0,0,0,0,0,1,1,2,1,3,0,8,5,13
153,0,0,0,1,1,0,1,1,0,3,2,0,0,9,5,14
161,0,0,0,2,2,0,1,1,0,2,1,0,0,9,8,17
162,0,0,0,1,0,1,0,1,0,2,1,1,0,7,5,12
163,0,0,0,1,1,0,1,0,2,4,0,0,0,9,6,15
164,0,0,0,4,0,2,3,1,2,6,1,0,0,19,9,28
171,0,0,0,1,0,0,1,1,0,0,0,1,0,4,7,11
172,0,0,0,1,1,3,0,0,0,2,0,1,0,8,7,15
173,0,0,0,2,0,0,0,0,0,1,2,1,0,6,3,9
174,0,0,0,0,0,0,2,2,0,7,1,1,0,13,5,18
181,0,0,0,4,0,0,0,2,0,1,0,2,0,9,8,17
182,0,0,0,2,1,2,1,0,1,0,1,0,0,8,4,12
183,0,0,0,2,0,2,0,0,1,0,2,0,0,7,3,10
184,0,0,0,2,0,0,1,1,0,0,1,0,0,5,5,10
191,0,0,0,1,0,1,0,0,1,1,0,0,0,4,2,6
192,0,0,0,4,0,1,0,0,0,0,1,0,0,6,4,10
193,0,0,0,3,0,0,3,0,2,0,0,1,0,9,6,15
194,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,7
202,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
203,0,0,0,1,0,1,0,2,2,0,1,0,1,8,10,18
204,0,0,0,2,0,1,0,0,1,0,0,3,0,7,1,8
211,0,0,0,0,0,1,1,2,0,0,0,0,0,4,1,5
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
213,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2
214,0,0,0,1,0,0,0,0,0,2,0,0,0,3,3,6
215,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
216,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4
221,0,0,0,0,1,0,1,0,1,3,0,2,0,8,3,11
222,0,0,0,2,0,0,1,0,0,1,0,2,0,6,1,7
223,0,0,0,1,0,1,0,1,0,0,0,1,0,4,1,5
224,0,0,0,0,0,1,0,2,1,1,0,1,0,6,2,8
225,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
226,0,0,0,1,0,2,1,1,0,3,0,1,0,9,6,15
231,1,0,0,3,6,2,0,1,0,0,0,0,0,13,6,19
232,0,0,0,0,2,2,0,2,0,2,0,2,0,10,7,17
233,0,0,0,0,2,2,0,0,0,1,0,1,0,6,2,8
234,0,0,0,1,0,5,0,2,0,1,0,1,0,10,3,13
235,0,0,0,3,3,3,0,2,0,3,0,2,0,16,10,26
241,0,0,0,1,0,0,1,0,0,0,0,0,0,2,5,7
242,0,0,0,2,0,1,1,3,2,0,2,2,0,13,9,22
243,0,0,0,0,0,1,2,0,0,0,0,1,0,4,5,9
244,0,0,0,1,0,2,0,0,2,2,0,4,0,11,5,16
251,0,0,0,1,1,0,0,1,1,0,0,1,0,5,6,11
252,0,0,0,2,1,0,1,1,1,1,0,3,0,10,5,15
253,0,0,0,1,0,0,0,0,0,0,0,2,0,3,5,8
271,0,0,0,1,0,0,0,1,1,0,3,2,0,8,10,18
272,0,0,0,1,0,5,0,2,0,1,1,1,0,11,9,20
273,0,0,0,1,2,2,0,0,0,7,0,1,0,13,6,19
274,0,0,0,1,1,2,0,2,0,2,0,1,0,9,4,13
281,0,0,0,3,0,0,1,1,0,0,0,1,0,6,5,11
282,0,0,0,1,2,1,0,0,1,0,0,0,0,5,5,10
291,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
292,0,0,0,1,4,0,0,1,2,1,1,0,0,10,4,14
293,0,0,0,2,0,3,0,1,1,0,1,0,0,8,4,12
301,0,0,0,1,0,0,1,3,1,0,1,0,0,7,3,10
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
303,0,0,0,0,0,1,0,0,1,0,0,0,0,2,3,5
304,0,0,0,0,0,0,0,0,1,1,0,0,0,2,5,7
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
312,0,0,0,1,0,0,0,0,0,1,0,1,0,3,2,5
313,0,0,0,0,0,0,0,1,0,0,1,0,0,2,5,7
314,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,5
315,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
316,0,0,0,0,0,1,0,1,0,1,0,0,0,3,8,11
321,0,0,0,0,0,0,0,1,0,1,0,1,0,3,1,4
322,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,4,0,2,0,0,0,3,0,9,6,15
332,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,3
333,0,0,2,0,0,1,1,2,1,3,0,0,0,10,4,14
334,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,4
335,0,0,0,0,0,0,0,0,1,1,0,0,0,2,4,6
336,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
341,0,0,0,3,0,2,0,1,2,1,0,6,0,15,3,18
342,0,0,0,5,1,1,0,1,1,1,0,1,0,11,10,21
343,0,0,0,1,0,3,0,2,1,0,2,4,0,13,5,18
351,0,0,0,1,0,4,0,2,1,1,0,0,0,9,2,11
352,0,0,0,0,0,0,0,2,0,2,0,1,0,5,4,9
353,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,3
354,0,0,0,2,0,1,0,1,1,1,0,0,0,6,3,9
361,0,0,0,2,1,3,2,0,1,0,0,0,0,9,4,13
362,0,0,0,1,0,1,0,1,1,0,0,0,0,4,8,12
371,0,0,0,0,0,0,1,1,0,0,0,1,0,3,2,5
372,0,0,2,0,1,3,0,0,0,1,0,0,2,9,6,15
373,0,0,0,2,0,0,0,2,0,0,0,0,0,4,2,6
374,0,0,0,1,1,0,0,0,0,4,0,0,0,6,4,10
381,0,0,0,1,1,0,0,0,0,1,0,1,0,4,2,6
382,0,0,0,2,0,0,0,0,0,1,0,0,0,3,4,7
383,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0,3
384,0,0,0,0,0,0,1,1,0,1,1,0,0,4,3,7
392,0,0,0,1,2,0,0,0,0,0,1,1,0,5,1,6
393,0,0,0,0,0,0,0,0,1,1,1,0,0,3,1,4
401,0,0,0,1,0,1,0,0,1,0,0,0,0,3,2,5
402,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3
403,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
411,0,0,0,1,0,1,0,1,0,1,0,2,0,6,7,13
412,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3,5
413,0,0,0,0,0,1,0,2,2,0,0,1,0,6,1,7
414,0,0,0,0,0,1,0,4,1,0,0,2,0,8,1,9
415,0,0,0,0,0,1,0,1,0,0,0,2,0,4,0,4
421,0,0,0,2,1,0,1,1,0,0,0,6,0,11,4,15
422,0,0,0,1,0,6,0,1,1,2,0,1,0,12,5,17
423,0,0,0,3,1,4,0,0,0,1,0,1,0,10,7,17
431,0,0,0,0,1,2,0,2,1,0,1,0,0,7,0,7
432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,3
434,0,0,0,1,0,1,1,2,2,0,0,3,0,10,3,13
441,0,0,0,1,0,1,0,0,0,4,1,0,0,7,5,12
442,0,0,0,0,0,0,0,2,1,0,0,1,0,4,3,7
451,0,0,0,1,0,0,0,0,0,2,1,1,0,5,9,14
452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
453,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4
454,0,0,0,0,0,3,0,0,1,0,0,0,0,4,5,9
461,0,0,0,1,0,1,0,0,0,0,0,2,0,4,0,4
462,0,0,0,2,0,0,0,0,0,1,0,2,0,5,3,8
463,0,0,0,2,4,0,0,1,0,0,1,2,0,10,5,15
464,0,0,0,0,1,1,0,0,1,1,1,4,0,9,2,11
470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,0,0,0,1,0,1,2,0,2,4,0,1,0,11,0,11
482,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3
483,0,0,0,0,3,0,0,0,1,2,0,1,0,7,3,10
491,0,0,0,0,0,3,0,1,0,1,1,0,0,6,1,7
493,0,0,0,0,2,1,0,2,0,2,0,0,0,7,0,7
501,0,0,1,0,1,0,0,0,0,4,0,1,0,7,4,11
502,0,0,0,1,1,3,1,1,0,0,1,1,0,9,6,15
503,0,0,0,1,1,1,0,2,0,2,1,0,0,8,1,9
511,0,0,0,2,1,1,0,4,0,0,0,2,0,10,6,16
512,0,0,1,0,0,0,0,2,0,1,0,0,0,4,6,10
521,0,0,0,1,0,2,0,2,0,2,1,3,0,11,10,21
522,0,0,0,1,0,0,0,1,0,1,0,1,0,4,10,14
523,0,0,0,0,0,5,2,0,1,0,1,0,0,9,6,15
524,1,0,0,3,0,3,0,3,2,2,1,2,0,17,7,24
531,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,3
532,0,0,0,0,0,3,0,2,1,0,1,0,1,8,4,12
533,0,0,0,0,0,2,0,3,1,0,0,0,0,6,0,6
534,0,0,0,0,0,2,0,1,1,0,2,0,0,6,2,8
541,0,0,0,1,0,1,0,1,0,0,0,1,0,4,5,9
542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
543,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2
544,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2
545,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,6
546,0,0,0,0,0,1,0,1,0,2,0,0,0,4,6,10
551,0,0,0,0,0,0,0,2,0,1,0,1,0,4,1,5
552,0,0,0,0,0,1,0,0,2,1,0,0,0,4,2,6
553,0,0,0,0,0,2,0,1,0,0,0,1,0,4,1,5
554,0,0,1,0,0,2,0,0,1,0,0,1,0,5,1,6
561,0,0,0,0,0,1,0,1,1,0,0,2,0,5,2,7
562,0,0,0,0,0,0,2,1,0,1,0,0,0,4,10,14
563,0,0,0,0,0,3,0,0,0,1,0,2,0,6,3,9
571,0,0,0,0,0,1,0,3,1,1,2,1,0,9,9,18
572,0,0,0,0,0,1,0,1,2,2,1,1,0,8,3,11
581,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2
582,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,3
583,0,0,0,0,0,0,0,1,0,2,1,0,0,4,10,14
584,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,3
591,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4
592,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2
593,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,3
595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
601,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4
602,0,0,0,0,0,0,1,4,2,1,1,1,0,10,7,17
603,0,0,0,0,0,0,0,0,1,1,0,0,0,2,4,6
604,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,4
610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621,0,0,0,0,1,0,0,1,2,0,0,1,0,5,4,9
622,0,0,0,0,0,1,1,2,0,2,0,1,0,7,4,11
623,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4
624,0,0,0,0,0,0,0,1,1,1,0,0,0,3,2,5
625,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2
631,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,4
632,0,0,0,0,0,0,0,1,0,0,1,1,0,3,2,5
633,0,0,0,0,0,1,0,1,0,1,0,0,0,3,0,3
634,0,0,0,0,0,1,2,2,0,2,0,1,0,8,3,11
635,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,0,0,0,0,0,2,0,0,1,0,0,0,0,3,3,6
642,0,0,0,0,0,0,0,1,1,0,0,0,0,2,5,7
643,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,3
644,0,0,0,0,1,1,0,3,1,2,0,1,1,10,6,16
645,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
646,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,4
651,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
652,0,0,0,0,0,1,0,0,0,1,0,1,0,3,1,4
653,0,0,0,0,1,2,2,3,0,7,0,1,1,17,4,21
654,0,0,0,0,0,1,1,3,0,3,0,2,0,10,7,17
655,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,4
661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
662,0,0,0,0,0,0,1,3,0,1,0,0,0,5,4,9
663,0,0,0,0,0,1,2,0,0,1,0,0,0,4,1,5
664,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,4
665,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,3
671,0,0,0,0,0,1,0,0,1,0,0,1,0,3,3,6
672,0,0,0,0,0,2,1,3,1,0,0,0,0,7,3,10
674,0,0,0,0,0,03,0,0,0,01,0,03,0,07,02,09
675,0,0,0,0,0,0,0,0,03,03,03,0,0,09,02,011
676,0,0,0,01,0,0,01,0,0,0,0,0,0,02,00,02
681,0,0,0,0,0,0,0,01,0,0,0,0,0,01,02,03
682,0,0,0,0,0,01,0,01,01,0,0,0,0,03,00,03
683,0,0,0,0,0,0,01,02,0,0,0,0,0,03,00,03
684,0,0,0,0,0,0,0,0,0,0,0,0,0,00,00,00
685,0,0,0,0,0,0,01,0,0,0,0,0,0,01,00,01
686,0,0,0,0,0,02,0,01,0,0,0,01,0,04,00,04
687,0,0,0,0,0,0,0,01,01,0,0,0,0,02,00,02
688,0,0,0,0,0,02,0,01,0,01,0,01,0,05,00,05
689,0,0,0,0,0,0,0,01,0,0,0,0,0,01,01,02
691,0,0,0,0,0,0,0,0,0,0,0,0,0,00,00,00
692,0,0,0,0,0,0,0,01,01,04,0,0,0,06,04,010
693,0,0,0,0,0,0,0,0,0,0,0,0,0,00,00,00
694,0,0,0,0,0,0,0,0,0,0,0,0,0,00,01,01
695,0,0,0,0,0,0,0,01,0,05,0,03,0,09,08,017
800,0,0,01,0,0,0,01,0,0,01,0,0,0,03,05,08
801,0,0,0,0,0,0,0,0,0,0,0,0,0,00,00,00
821,0,0,0,0,0,0,0,0,0,0,0,0,0,00,00,00
822,0,0,0,0,0,0,0,0,0,0,0,0,0,00,01,01
823,0,0,0,0,0,0,0,0,0,0,0,0,0,00,01,01
824,0,0,0,0,0,0,0,0,0,0,0,0,0,00,00,00
825,0,0,0,0,0,0,0,0,0,0,0,0,0,00,00,00
962,0,0,0,0,0,0,0,0,0,0,0,0,0,00,00,00
972,0,0,0,0,0,0,0,0,0,0,0,0,0,00,00,00
Unk,0,0,0,0,0,0,0,0,0,01,0,01,0,02,05,07
