RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
020,0,0,0,0,1,0,0,2,1,0,0,1,0,5,7,12
021,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
030,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
043,0,0,0,0,0,0,0,0,2,0,0,1,0,3,2,5
044,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,3
051,0,0,0,1,0,1,0,0,0,0,0,1,0,3,2,5
052,0,0,0,1,0,3,0,0,0,0,0,0,0,4,8,12
053,0,0,0,0,0,1,0,0,1,2,0,0,0,4,17,21
061,0,0,0,1,0,2,0,0,0,1,0,0,0,4,4,8
062,0,0,0,0,0,2,0,1,0,1,0,0,0,4,3,7
063,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3
064,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,5
071,0,0,0,1,0,1,1,1,1,1,0,4,0,10,5,15
072,0,0,0,2,0,2,0,0,1,0,0,0,0,5,4,9
073,0,0,0,0,2,3,2,2,0,4,0,2,0,15,4,19
074,0,0,0,0,0,3,1,0,0,0,0,0,0,4,1,5
075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
076,0,0,0,0,0,0,0,5,0,1,0,2,2,10,8,18
081,0,0,0,1,0,0,0,0,0,3,1,0,0,5,9,14
082,0,0,0,1,0,0,1,1,2,0,1,1,1,8,13,21
083,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
084,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
085,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
091,0,0,0,1,2,2,0,1,1,1,1,1,0,10,2,12
092,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,4
093,0,0,0,0,0,2,0,3,0,0,0,1,0,6,3,9
094,0,0,0,0,1,0,0,1,1,1,1,5,0,10,0,10
101,0,0,0,0,1,5,0,0,0,0,0,1,0,7,8,15
102,0,0,0,1,1,0,0,0,0,0,0,1,0,3,2,5
104,0,0,0,0,0,0,0,0,1,0,0,2,0,3,4,7
111,0,0,0,1,3,1,0,0,0,2,0,2,0,9,12,21
112,0,0,0,0,1,0,0,2,0,2,1,0,0,6,14,20
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
114,0,0,0,1,1,0,1,1,0,1,0,0,0,5,1,6
121,0,0,1,0,0,1,0,2,0,0,0,0,1,5,2,7
122,0,0,0,2,1,2,0,1,0,3,1,3,0,13,9,22
123,0,0,0,0,0,5,0,0,1,0,0,2,0,8,1,9
124,0,0,0,0,0,1,0,1,0,1,0,0,0,3,2,5
131,0,0,0,1,0,0,1,0,0,0,0,3,0,5,4,9
132,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,4
133,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2
134,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,4
141,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,4
142,0,0,0,0,0,3,0,0,0,0,0,1,0,4,1,5
143,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
144,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,3
151,0,0,0,0,0,1,1,0,2,1,0,1,0,6,0,6
152,0,0,0,0,1,1,0,0,1,2,0,0,0,5,5,10
153,0,0,0,2,0,0,0,0,1,2,0,0,0,5,4,9
161,0,0,0,2,2,0,2,0,0,2,3,1,0,12,9,21
162,0,0,0,1,0,1,0,1,1,2,0,0,0,6,4,10
163,0,0,0,1,1,0,1,0,2,6,1,0,0,12,8,20
164,0,0,0,2,1,3,6,0,2,9,4,0,0,27,7,34
171,0,0,0,1,0,0,0,1,2,1,1,1,1,8,3,11
172,0,0,0,0,0,0,0,2,0,1,0,0,0,3,3,6
173,0,0,0,0,0,2,1,1,0,1,0,2,0,7,4,11
174,0,0,1,1,0,1,1,0,0,3,0,3,0,10,6,16
181,0,0,0,2,1,0,0,0,0,1,1,1,0,6,6,12
182,0,0,0,1,0,1,1,0,0,0,0,3,0,6,5,11
183,0,0,0,1,0,0,0,1,1,1,0,1,0,5,4,9
184,0,0,0,0,1,2,1,0,0,3,0,0,0,7,9,16
191,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,3
192,0,0,0,1,1,1,0,1,0,0,0,0,0,4,6,10
193,0,0,0,2,4,0,0,0,0,2,0,1,0,9,11,20
194,0,0,0,1,0,0,0,0,0,3,0,2,1,7,4,11
202,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,4
203,0,0,0,1,0,0,2,1,1,2,0,2,0,9,5,14
204,0,0,0,0,0,1,0,1,0,1,1,1,0,5,3,8
211,0,0,0,1,0,0,0,3,0,2,0,1,0,7,1,8
212,0,0,0,0,0,0,0,3,0,0,1,0,0,4,2,6
213,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,3
214,0,0,0,2,0,0,1,2,1,4,0,1,0,11,4,15
215,0,0,0,0,0,0,0,0,0,1,0,2,0,3,3,6
216,0,0,0,0,0,1,1,1,0,0,0,0,0,3,4,7
