RD,MURDER,MANSLTR,FORCED_RAPE,ROBBERY,AGGRAV_ASSAULT,BURGLARY_RES,BURGLARY_COM,AUTO_BURG,GRAND_THEFT,PETTY_THEFT,BIKE_THEFT,AUTO_THEFT,ARSON,TOTAL_PART1,TOTAL_PART2,GRAND_TOTAL
010,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
020,0,0,0,0,0,0,0,2,2,1,0,0,0,5,5,10
021,0,0,0,0,0,0,0,4,0,0,0,0,0,4,1,5
030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
045,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
051,0,0,0,0,0,1,0,0,0,0,0,1,0,2,5,7
052,0,0,0,0,0,0,1,0,0,1,0,1,0,3,3,6
053,0,0,0,1,0,0,0,0,0,2,0,0,0,3,12,15
061,0,0,0,1,0,1,0,0,0,0,0,0,0,2,7,9
062,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,3
063,0,0,0,0,0,2,1,0,1,0,0,0,0,4,0,4
064,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2
071,0,0,0,0,0,1,4,0,0,1,0,1,0,7,4,11
072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
073,0,0,0,0,0,1,1,0,0,2,0,1,0,5,2,7
074,0,0,0,1,0,0,0,0,0,1,0,1,0,3,3,6
075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
076,0,0,0,0,1,0,0,0,1,1,0,0,0,3,4,7
081,0,0,0,0,0,0,0,0,0,2,2,0,0,4,10,14
082,0,0,0,0,0,0,0,1,1,1,2,4,0,9,8,17
083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
091,0,0,0,0,1,1,1,0,0,0,1,0,0,4,6,10
092,0,0,0,0,0,0,0,1,2,0,0,1,0,4,3,7
093,0,0,0,1,0,0,0,1,0,0,0,1,0,3,5,8
094,0,0,0,0,0,1,0,0,0,2,0,0,0,3,7,10
101,0,0,0,1,3,1,0,0,0,1,0,0,0,6,5,11
103,0,0,0,0,0,3,1,0,1,5,0,2,-1,11,3,14
104,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,3
111,0,0,0,1,2,0,0,1,0,1,0,2,0,7,7,14
112,0,0,0,0,0,1,1,0,0,0,0,1,1,4,9,13
113,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,4
114,0,0,0,1,0,0,0,0,0,1,0,1,0,3,2,5
121,0,0,0,0,2,3,0,1,0,0,0,2,0,8,4,12
122,0,0,0,0,3,0,0,0,1,0,0,0,0,4,3,7
123,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,10
124,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,3
131,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,3
132,0,0,0,1,2,0,0,0,0,0,0,0,0,3,4,7
133,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
134,0,0,0,0,0,0,0,0,1,0,0,2,0,3,1,4
141,0,0,0,0,0,0,0,1,0,1,0,1,0,3,2,5
142,0,0,0,1,0,1,1,0,0,2,0,1,0,6,1,7
143,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
144,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,3
151,0,0,0,1,0,0,1,1,0,1,0,1,0,5,6,11
152,0,0,0,0,4,0,0,0,2,0,3,0,0,9,4,13
153,0,0,0,0,0,0,2,0,3,1,0,0,0,6,11,17
161,0,0,0,3,2,2,1,1,0,11,0,1,0,21,8,29
162,0,0,0,0,0,2,0,0,0,2,0,0,0,4,1,5
163,0,0,0,1,0,0,2,0,0,2,1,0,0,6,6,12
164,0,0,0,1,3,0,2,1,0,4,2,2,0,15,6,21
